Year,State_Code,State_label,Population,Bias_Motivation_Race,Bias_Motivation_Religion,Bias_Motivation_SexualOrientation,Bias_Motivation_Ethnicity,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_GenderIdentity,Total_Incidents,Total_Racial_Ethnicity_Bias
2006,AL,ALABAMA,7598,1,0,0,0,0,,,1,1
2006,AK,ALASKA,277692,4,0,2,0,0,,,6,4
2006,AZ,ARIZONA,3870937,52,30,28,38,1,,,149,90
2006,AR,ARKANSAS,495508,91,3,11,6,2,,,113,97
2006,CA,CALIFORNIA,22791018,597,204,246,247,3,,,1297,844
2006,CO,COLORADO,2471617,59,42,16,19,2,,,138,78
2006,CT,CONNECTICUT,1647259,56,30,29,14,2,,,131,70
2006,DE,DELAWARE,133328,29,6,7,5,1,,,48,34
2006,DC,DISTRICT OF COLUMBIA,581530,11,5,36,4,1,,,57,15
2006,FL,FLORIDA,5102124,114,35,44,23,0,,,216,137
2006,GA,GEORGIA,508606,6,2,4,1,0,,,13,7
2006,ID,IDAHO,434308,11,2,3,7,0,,,23,18
2006,IL,ILLINOIS,4754365,90,25,29,12,0,,,156,102
2006,IN,INDIANA,621174,18,3,11,7,0,,,39,25
2006,IA,IOWA,646539,12,3,8,4,1,,,28,16
2006,KS,KANSAS,829610,65,12,12,20,0,,,109,85
2006,KY,KENTUCKY,1286445,35,9,12,8,0,,,64,43
2006,LA,LOUISIANA,160061,14,2,2,2,2,,,22,16
2006,ME,MAINE,292188,28,10,16,4,1,,,59,32
2006,MD,MARYLAND,812201,135,52,13,12,0,,,212,147
2006,MA,MASSACHUSETTS,3100417,167,84,72,54,2,,,379,221
2006,MI,MICHIGAN,4679384,477,74,52,48,2,,,653,525
2006,MN,MINNESOTA,1557975,98,13,20,6,0,,,137,104
2006,MO,MISSOURI,1004476,48,10,10,8,2,,,78,56
2006,MT,MONTANA,281441,14,5,1,3,1,,,24,17
2006,NE,NEBRASKA,725267,35,4,5,12,0,,,56,47
2006,NV,NEVADA,1721635,53,13,13,46,0,,,125,99
2006,NH,NEW HAMPSHIRE,380458,10,14,9,1,0,,,34,11
2006,NJ,NEW JERSEY,5383705,358,243,70,84,4,,,759,442
2006,NM,NEW MEXICO,559988,6,1,5,8,0,,,20,14
